البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
289	86979270916043	AIRCOMB 5/10MG TAB باكيت برتقالي					3					6000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
290	6281102232306	Airfast 10mg tab Tabuk				1	3	3		3545	3545	4500	10635
291	8680881090608	AIRFIX 10mg neutec				1	2	2		5048	5048	6750	10095
292	8680881240560	Airfix 4mg sachet					0					14000	
293	8680741550020	Airflex Discair 50/250mcg Inhaler /sh				2	0	1		14317	14317	18000	14317
294	8680741550037	Airflex Discair 50/500 inhalation powder/sh				3	0	2		18815	18815	22000	37630
295	8680760150287	airtide capsules 250mcg/50mcg humanis / sh				1	0	1		16362	16362	20250	16362
296	1001607919	Aklevo 500mg 10 tab					0					5000	
297	8023628901544	AKNICARE CLEANSER / SH				2	0	1		25500	25500	30000	25500
298	8023628901551	AKNICARE CREAM 50ML / SH				2	0	1		25500	25500	30000	25500
299		akurose 100 ampoules					5			1573	1573	2500	
300	3337875549530	AL ROCHE POSAY				3	0	2		24080	25000	28000	48161
301	8699578010089	alarin 10mg				30	0	25		1320	1320	2000	33000
302	10002795100840100000	Alarmeen-D tab				10	0			91	91	500	
303	8680881094064	ALATAB 600MG / sh			باكيت		3		شريط	3827	3827	5000	
304	5280270051130	ALATAR لصقة انف					0			1750	1750	3000	
305	10002571	alban ipek surgical tape 5cm/sh				2	0	2		600	600	1000	1200
306	8696921062979	alban ipek surgincal tape 10cm/sh				27	0	4		992	1130	2000	3970
307	8684032587122	alban ضماد عين 50 قطعه					50			203	203	500	
308	8684032587139	alban ضماد عين اطفال					5			309	309	500	
309	8697950640367	alban لصقة ضهر				80	0	5	قطعة	375	380	1000	1875
310	8904462000085	ALBEN HOF 200MG					0			651	651	1500	
311	6291100080601	ALBENDA 400MG SYR					0					3000	
312	6291100082407	Albenda tab julphar / sh				35	0	2		1141	768	1250	2281
313	5285007350265	Albendazole / sh 20ml susp				40	0			858	858	1500	
314	9504000087869	albenzol 400 syr				6	0	1		860	860	2000	860
315	87614020679	albion selenium complex cap				5	0			17740	17740	25000	
316	6211314031817	ALCTON 100Mg TAB Medico /sh				10	0	8		4276	5136	6000	34206
317	6211314021849	ALCTON 25MG TAB Medico /sh				10	2	20		2344	2430	3000	46884
318	6211314011819	ALCTON 50Mg TAB / sh				43	0	9		5354	5350	7000	48186
